STIM,Base,Lexicality,affix,Source,FinalCut,correctans,FamilySize,BaseFreq,LogBF,SF,LogSF,BaseLength,SurfaceLeng,BG_Mean,BG_Freq_By_Pos,Stim.Type,NW.Type,Sublist,CB.Cond
bogady,bog,NW,ary,Crepaldi,L,m,12,259,5.56,NA,NA,3,6,NA,NA,CriticalNW,Simple,1,AB
bandady,band,NW,ary,Crepaldi,L,m,26,981,6.89,NA,NA,4,7,NA,NA,CriticalNW,Simple,1,AB
begenge,beg,NW,ence,Crepaldi,L,m,8,604,6.40,NA,NA,3,7,NA,NA,CriticalNW,Simple,1,AB
pickenge,pick,NW,ence,Crepaldi,L,m,20,3385,8.13,NA,NA,4,8,NA,NA,CriticalNW,Simple,1,AB
taxfil,tax,NW,ful,Crepaldi,L,m,14,2763,7.92,NA,NA,3,6,NA,NA,CriticalNW,Simple,1,AB
habitig,habit,NW,ic,Crepaldi,L,m,16,2066,7.63,NA,NA,5,7,NA,NA,CriticalNW,Simple,1,AB
beanith,bean,NW,ish,Crepaldi,L,m,9,425,6.05,NA,NA,4,7,NA,NA,CriticalNW,Simple,1,AB
wigith,wig,NW,ish,Crepaldi,L,m,8,262,5.57,NA,NA,3,6,NA,NA,CriticalNW,Simple,1,AB
elbowilm,elbow,NW,ish,Crepaldi,L,m,18,1756,7.47,NA,NA,5,8,NA,NA,CriticalNW,Simple,1,AB
witchith,witch,NW,ish,Crepaldi,L,m,11,890,6.79,NA,NA,5,8,NA,NA,CriticalNW,Simple,1,AB
earilt,ear,NW,ist,Crepaldi,L,m,16,1711,2.77,NA,NA,3,6,NA,NA,CriticalNW,Simple,1,AB
pooridy,poor,NW,ity,Crepaldi,L,m,11,4350,8.38,NA,NA,4,7,NA,NA,CriticalNW,Simple,1,AB
nutla,nut,NW,ly,Crepaldi,L,m,31,946,6.85,NA,NA,3,5,NA,NA,CriticalNW,Simple,1,AB
towerla,tower,NW,ly,Crepaldi,L,m,9,1180,7.07,NA,NA,5,7,NA,NA,CriticalNW,Simple,1,AB
shootmant,shoot,NW,ment,Crepaldi,L,m,23,1828,7.51,NA,NA,5,9,NA,NA,CriticalNW,Simple,1,AB
longnels,long,NW,ness,Crepaldi,L,m,59,19076,9.86,NA,NA,4,8,NA,NA,CriticalNW,Simple,1,AB
classoes,class,NW,ous,Crepaldi,L,m,29,6216,8.73,NA,NA,5,8,NA,NA,CriticalNW,Simple,1,AB
smoothfil,smooth,NW,ful,Graves,L,m,12,1042,6.95,NA,NA,6,9,NA,NA,CriticalNW,Simple,1,AB
growilt,grow,NW,ic,Graves,L,m,14,8545,9.05,NA,NA,4,7,NA,NA,CriticalNW,Simple,1,AB
dressody,dress,NW,ory,Graves,L,m,33,3885,8.26,NA,NA,5,9,NA,NA,CriticalNW,Simple,1,AB
criticange,critic,NW,ize,Rastle,L,m,11,2720,7.91,NA,NA,6,10,NA,NA,CriticalNW,Simple,1,AB
validel,valid,NW,er,RastleFiller,L,m,13,618,6.43,NA,NA,5,7,NA,NA,CriticalNW,Simple,1,AB
bloodel,blood,NW,er,RastleFiller,L,m,53,3988,8.29,NA,NA,5,7,NA,NA,CriticalNW,Simple,1,AB
bearilt,bear,NW,ist,RastleFiller,L,m,30,2626,7.87,NA,NA,4,7,NA,NA,CriticalNW,Simple,1,AB
meltange,melt,NW,ance,Crepaldi,S,m,5,429,6.06,NA,NA,4,8,NA,NA,CriticalNW,Simple,2,BA
happenange,happen,NW,ance,Crepaldi,S,m,3,6982,8.85,NA,NA,6,10,NA,NA,CriticalNW,Simple,2,BA
lidady,lid,NW,ary,Crepaldi,S,m,3,523,6.26,NA,NA,3,6,NA,NA,CriticalNW,Simple,2,BA
figel,fig,NW,er,Crepaldi,S,m,3,196,5.28,NA,NA,3,5,NA,NA,CriticalNW,Simple,2,BA
beerel,beer,NW,er,Crepaldi,S,m,2,853,6.75,NA,NA,4,6,NA,NA,CriticalNW,Simple,2,BA
